epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice,elapsed_train_time,elapsed_val_time,vram_current_training,vram_current_val,vram_peak_training,vram_peak_val,ram_used_training,ram_used_val
11.0,0.0001,1.1628070399165154,0.00011180770667083609,0.0008514750588770299,1.1646881979064079,3.812128229074319e-09,0.0006584828014909282,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
12.0,0.0001,1.1566991060972214,2.4027799771645193e-09,0.000855330345244719,1.1622908714800904,4.238978101527626e-09,0.0006465230559568441,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
13.0,0.0001,1.1647683158516884,0.00019555366192007897,0.0008822270664556103,1.1725703821343891,0.0018128405150449117,0.0008012712400530763,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
14.0,0.0001,1.1545799672603607,4.326391190998939e-05,0.0008934262284612161,1.1556796966972998,3.895622498284021e-09,0.000670319189616146,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
15.0,0.0001,1.1478171721100807,1.7279098897500434e-05,0.0008836344163689813,1.1488136234930006,4.16663758771278e-09,0.0006353940573555098,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
16.0,0.0001,1.1436251252889633,2.3470510531090927e-05,0.0008616109597963439,1.2376858070071808,0.0029472922808442565,0.000684706989606947,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
17.0,0.0001,1.1440066918730736,0.00043966577106865874,0.0008833850804281984,1.1507975880035572,0.002364827476323407,0.0006820100340715727,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
18.0,0.0001,1.1381872296333313,7.477496129434455e-05,0.0008732884793251245,1.1424136747748166,3.6053157146806406e-09,0.0006416551773774671,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
19.0,0.0001,1.133661650121212,2.0997589404462503e-09,0.0009046323514246845,1.136551325604067,4.0701596158830504e-09,0.000623215197441021,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
20.0,0.0001,1.1294300109148026,2.4723857879908433e-09,0.0008383247785212379,1.135207308214263,3.901133870163375e-09,0.0006222990125822711,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
21.0,0.0001,1.1263428926467896,2.3994955463345796e-09,0.0008897857690012929,1.1284029241335594,4.27549049831667e-09,0.0006499973874440066,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
22.0,0.0001,1.1231651678681374,2.600535840762863e-09,0.000939753802940515,1.1378295044441007,2.1559696407791123e-09,0.0006646553978834029,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
23.0,0.0001,1.120806835591793,2.3443863941309903e-09,0.0009064436343515534,1.1210613446047077,3.864435070391614e-09,0.0006914425746825145,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
24.0,0.0001,1.1173184365034103,2.6739175496220494e-09,0.0009098711307471798,1.1154984660067802,4.296680800836538e-09,0.0007039733132888855,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
25.0,0.0001,1.1141861006617546,2.7571470908715607e-09,0.000927563377003183,1.1150830196121992,4.215732912496599e-09,0.0007216507257976876,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
26.0,0.0001,1.1113475561141968,2.690322070677873e-09,0.0009352371305323239,1.110917799890378,4.262776348738653e-09,0.0007546009452999347,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
27.0,0.0001,1.1093472838401794,2.3700230629035632e-09,0.0009537878078661003,1.1124936012224962,2.228360604116722e-09,0.0006993690507476845,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
28.0,0.0001,1.106825903058052,2.2175193617218844e-09,0.0009459829059570745,1.1063528747881872,4.048941092265277e-09,0.000712497703772601,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
29.0,0.0001,1.103801168501377,2.526137657370775e-09,0.000979865306098927,1.104832378484435,4.402179174440645e-09,0.0006749466191802861,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
30.0,0.0001,1.1010855585336685,2.742471985065067e-09,0.0010104667000399585,1.100092003574479,4.395569179323975e-09,0.0008064464067119032,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
